,岗位名称,工作地址,公司,薪资,经验学历,所属行业,岗位福利,任职要求
0,深度/机器学习,北京·中关村,深睿医疗,25k-50k,经验不限 / 硕士,"
                                移动互联网,医疗健康 / B轮 / 150-500人
                            ","“大牛,人性化管理,靠谱团队,技术氛围好”","['研究深度学习（包括各种神经网络结构与应用）或计算机视觉各个领域（目标检测识别等）中核心算法', '', '将上述核心算法和模型应用到医疗领域的现实场景中，并针对应用场景进行优化和定制等', '', '将算法高效地实现到多种不同平台和框架上，并基于对平台和框架的内部机制的理解，持续对算法和模型实现进行优化', '', '支持公司在医疗领域相关应用产品的研究、开发、文档撰写工作；', '', '岗位要求：', '', '机器学习/模式识别及其他相关领域硕士及以上学历，在深度学习领域有较深的理论或实验室研究经验', '', '良好的算法基础，扎实的编程功底，有较大型项目的开发经验', '', '能够熟练使用OpenCV，精通C/C++，Python,golang等，熟悉Linux开发环境', '', '善于解决和分析问题，富有想象力和学习能力，良好的团队合作精神，有创造性思维，有推进人工智能的理想和使命感。', '', '有以下经验者优先：', '', '具有常用的CNN/RNN模型之外深度学习相关经验，熟悉常用的深度学习软件（如caffe，pytorch等）', '', '在相关方向知名国际会议发表过论文（如CVPR，ICCV，ECCV，NIPS，ICLR，TPAMI等）', '', '参加过国际国内算法类竞赛，并取得一定名次者']"
1,机器学习,北京·西直门,Udesk－企业级智能客服平台,15k-30k,经验1-3年 / 硕士,"
                                移动互联网,企业服务 / C轮 / 150-500人
                            ","“团队强悍,待遇丰厚,数据规模,场景明确”","['职位描述：', '+ 企业服务领域智能化场景的业务分析、数据建模和数据优化。', '', '', '任职要求：', '+ 1年以上相关工作经验，有落地的产品；', '+ 优秀的业务理解、目标制定、沟通能力；', '+ 精通机器学习算法，丰富的数据分析、挖掘、建模经验，有NLP经验更佳；', '+ 有TensorFlow/PaddlePaddle等深度学习工具经验；', '+ 良好的开发能力（SQL/Java/Python/R/Scala等），了解大数据开发平台（Hadoop/Hive/Spark/Storm)。', '', '', '', '', '公司介绍寻找有梦想，爱学习的实力派！Udesk是国内领先的智能服务平台，拥有数万家云上企业用户，云平台日访问量数亿次，通过整合整合ABC（AI、Big Data、Cloud Computing）为企业提供了一套集智能问答机器人、即时通讯、VoIP、工单、知识库、数据分析为一体的全场景的智能客服系统解决方案。Udesk知名客户有光大银行、海底捞、星巴克、故宫博物院、皇家加勒比游轮、凯撒旅游、中青旅耀悦、WPS、印象笔记、巧虎、养乐多等。覆盖了股份银行、餐饮、本地生活、旅游、O2O、企业服务等行业。Udesk于2018年9月完成C轮3亿人民币融资，投资方为老虎环球基金、君联资本、DCM。公司收入增长迅速，现金流充足，不烧钱、不依赖融资。产品介绍\xa0\xa0\xa0 Ubot-智能问答机器人—多轮交互，自主学习，知识图谱', '\xa0\xa0\xa0 Udesk智能客服平台—智能化，数据驱动，云服务，企业级', '\xa0\xa0\xa0 Insight客服大数据—数据驱动，实时监控，大屏显示', '\xa0\xa0\xa0 Udesk前端用Ember.js，后台用Java、Ruby、Go。日接口调用量超过200,000,000次。']"
2,头条实验室算法工程师-机器学习,北京·海淀区,字节跳动,25k-50k,经验1-3年 / 本科,"
                                移动互联网,数据服务 / C轮 / 2000人以上
                            ",“六险一金，免费三餐，租房补贴，带薪休假”,[]
3,机器学习专家,杭州·东新路,点我达,30k-60k,经验5-10年 / 硕士,"
                                O2O / D轮及以上 / 500-2000人
                            ",“独角兽公司、股票期权、高速发展”,"['岗位职责：', '点我达的智能调度系统中包含大量机器学习的问题，包括订单压力预测、实时单量预测、出餐时间预测、订单送达时间预测、骑手上楼时间预测、骑手骑行速度预测等等，这些问题的解决对公司降本增效至关重要。', '您是否敢来试一试身手呢？够强你就来！另外，公司在搭建机器学习平台，您有经验吗，有的话一起来搞事情！\xa0', '', '职位要求：', '1、希望你有5年以上机器学习方面的工作经验，熟悉常用的机器学习算法和开源框架 ；', '2、您的工作责任重大，影响百万骑手和上千万用户，因此您必须要有很强的责任感；', '3、 面对业务问题，您要能快速理解问题并设计可行的解决方案 ；', '4、 这个年代，您要有较强学习能力，紧跟算法研究的前沿；', '5、您要有自我驱动能力，积极推进工作落地并拿到结果；', '6、沟通和协作能力当然也必不可少喽。']"
4,机器学习研发工程师,成都·高新区,Camera360,15k-25k,经验1-3年 / 硕士,"
                                移动互联网 / B轮 / 150-500人
                            ","“五险一金,员工体检,职级晋升,股票期权”","['岗位职责：1.深度学习方向相关前沿技术的研发。任职要求：1.重点大学计算机相关专业研究生以上学历，图像处理一年以上工作经验，也欢迎有实际项目经验的优秀应届毕业生。2.精通c或c++开发，熟悉opencv；熟悉matlab,python者优先。3.对深度学习特别是CNN有过深入的认识和理解,具有较好的文献阅读能力和创新能力，学习能力强；有良好的数学基础者优先。4.具有独立承担项目研发的工作经验。5.具有高性能并行计算研发相关的经验(OpenMP、MPI、pthread），或对GPU有一定认识，了解GPU的基本结构和并行机制，有CUDA编程的经验者优先。']"
5,机器学习算法工程师,上海·漕宝路,银橙传媒,15k-30k,经验1-3年 / 本科,"
                                移动互联网,数据服务 / 上市公司 / 150-500人
                            ","“团队强大,免费午餐,全勤奖,年底奖金”","['岗位职责:', '1、参与现有决策引擎、推荐算法的设计与开发；', '2、参与用户行为的挖掘和分析；', '3、参与海量数据的挖掘和分析；', '\xa0', '岗位要求:', '1、精通java，良好的编码能力，有扎实的数据结构和算法功底；', '2、基于主流机器/深度学习框架：Tensorflow、Mahout、SparkMllib研发过相关产品', '3、数学功底和建模能力强，理解数据挖掘，熟悉机器学习领域的常见算法以及算法的适用场景、优点、缺点以及弥补办法；', '4、大型互联网公司推荐系统或搜索引擎或广告系统或数据挖掘开发经验优佳；', '5、有以下领域之一：机器学习/数据挖掘/信息检索/自然语言处理/统计分析/Hadoop/Spark的背景优佳；', '6、工作认真，细心，有条理；积极性高，求知欲强；']"
6,机器学习算法工程师,上海·徐家汇,WIMI LENDING++,12k-24k,经验1-3年 / 本科,"
                                移动互联网,金融 / 天使轮 / 15-50人
                            ",“扁平化管理 周末双休 带薪年假”,"['岗位内容', '', '', '职位要求']"
7,机器学习算法工程师,北京·朝阳区,日志易,25k-35k,经验3-5年 / 不限,"
                                数据服务 / A轮 / 50-150人
                            ",“六险一金、弹性工作，福利优厚”,"['岗位职责', '1、利用数据挖掘、机器学习相关算法，解决产品业务需求； \xa0 \xa02、调研新技术在数据分析领域的应用价值，以技术驱动产品。', '任职条件', '1、扎实的数据结构及算法功底，优秀的工程实现能力； \xa0 \xa02、熟悉常见的机器学习&数据挖掘算法，有相关研究或项目经验； \xa0 \xa03、熟悉Linux开发环境，熟悉Java, 熟悉python； \xa0 \xa04、有良好的沟通能力和团队合作能力、高度的责任心和诚信的品质。']"
8,算法工程师机器学习方向,北京·亦庄,铭古科技,22k-35k,经验不限 / 本科,"
                                移动互联网,O2O / 未融资 / 50-150人
                            ",“知名互联网公司”,"['1. 负责商品的个性化推荐和排序，包括但不限于用户画像，推荐召回，ctr预估，分布式算法开发以及其他推荐相关问题；', '2. 负责搜索产品线的搜索相关系列算法工作，提高搜索结果的可用性、召回质量与搜索个性化等指标；', '3. 改进与优化下单预估、销量预测、送达时间预估、商品排序，语义识别等相关算法与应用；', '4.跟踪算法领域前沿技术的发展趋势，并运用其解决现实问题', '任职资格：', '1. 数学、计算机相关专业，硕士及以上学历，两年以上工作经验；背景非常优秀的本科毕业生也可以考虑；', '2. 在推荐排序、信息检索、自然语言处理、爬虫或其他机器学习领域有扎实的理论基础与研发经验，主导或主要参与开发过上述相关算法项目的优先；', '3.有大数据并行处理经验，熟悉hadoop、storm、spark中的至少一种，精通数据结构与算法设计；', '4. 熟练掌握Java、Python、Scala中的至少一种编程语言，有Linux环境下的开发经验，能够编写shell脚本，熟悉sql语言，了解至少一种nosql数据库；', '5. 练阅读英文paper。']"
9,数据挖掘/机器学习 算法工程师,杭州·下沙,高创保安杭州分公司,15k-30k,经验1-3年 / 本科,"
                                其他 / A轮 / 50-150人
                            ",“年终奖”,"['岗位描述：', '1.协助建立数据仓储之数据逻辑架构', '2.协助评估资料项目效益', '3.依据项目需求建构数据萃取与转换流程', '4.建构数据分析模型,评估模型效益', '职位要求：', '1.本科以上学历', '2.熟悉常见机器学习算法模型（SVM、随机森林、回归分析等）和深度学习框架（keras、tensorflow等）', '3.熟悉sql和spark大数据分析框架', '4.熟悉python和常用数据分析库', '5.英语水平良好，有团队合作精神']"
