,address,advantage,city,company_name,education,industry,industryLables,label,position_detail,position_name,salary,size,stage,work_year
0,"['中关村', '知春路', '苏州街']","大牛,人性化管理,靠谱团队,技术氛围好",北京,北京深睿博联科技有限责任公司,硕士,"移动互联网,医疗健康","['医疗健康', '机器学习', '深度学习', '计算机视觉', '算法']","['股票期权', '年底双薪', '定期体检', '弹性工作']",null,深度/机器学习,25k-50k,150-500人,B轮,不限
1,"['西直门', '动物园', '官园']","团队强悍,待遇丰厚,数据规模,场景明确",北京,北京沃丰时代数据科技有限公司,硕士,"移动互联网,企业服务","['企业服务', '搜索', 'NLP', '算法']","['AI', '大数据', '云服务', '大牛带队']",null,机器学习,15k-30k,150-500人,C轮,1-3年
2,,六险一金，免费三餐，租房补贴，带薪休假,北京,北京字节跳动科技有限公司,本科,"移动互联网,数据服务",[],"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",null,头条实验室算法工程师-机器学习,25k-50k,2000人以上,C轮,1-3年
3,"['东新路', '大关', '上塘']",独角兽公司、股票期权、高速发展,杭州,点我达网络科技有限公司,硕士,O2O,[],"['扁平管理', '弹性工作', '软妹子集中营', '股票期权']",null,机器学习专家,30k-60k,500-2000人,D轮及以上,5-10年
4,,"五险一金,员工体检,职级晋升,股票期权",成都,成都品果科技有限公司,硕士,移动互联网,[],"['绩效奖金', '股票期权', '专项奖金', '年终奖']",null,机器学习研发工程师,15k-25k,150-500人,B轮,1-3年
5,"['漕宝路', '田林', '漕河泾']","团队强大,免费午餐,全勤奖,年底奖金",上海,上海银橙文化传媒股份有限公司,本科,"移动互联网,数据服务",[],"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",null,机器学习算法工程师,15k-30k,150-500人,上市公司,1-3年
6,"['徐家汇', '枫林路', '龙华']",扁平化管理 周末双休 带薪年假,上海,深圳微米信息服务有限公司,本科,"移动互联网,金融",[],[],null,机器学习算法工程师,12k-24k,15-50人,天使轮,1-3年
7,,六险一金、弹性工作，福利优厚,北京,北京优特捷信息技术有限公司,不限,数据服务,"['大数据', '机器学习', '算法']","['年底双薪', '年度旅游', '扁平管理', '午餐补助']",null,机器学习算法工程师,25k-35k,50-150人,A轮,3-5年
8,['亦庄'],知名互联网公司,北京,北京铭古科技有限公司,本科,"移动互联网,O2O",[],[],null,算法工程师机器学习方向,22k-35k,50-150人,未融资,不限
9,,年终奖,杭州,江西高创保安服务技术有限公司杭州分公司,本科,其他,"['大数据', '移动互联网', '算法', '数据挖掘', '数据分析', 'Spark']",[],null,数据挖掘/机器学习 算法工程师,15k-30k,50-150人,A轮,1-3年
10,['张江'],"移动金融,未来金矿,精英团队,助力成长",上海,上海数禾信息科技有限公司,本科,"移动互联网,金融","['移动互联网', '数据挖掘', '算法']","['股票期权', '通讯津贴', '交通补助', '午餐补助']",null,机器学习专家,30k-60k,500-2000人,B轮,5-10年
11,,"五险一金,职位晋升,各类补贴",上海,招商银行股份有限公司信用卡中心,本科,"移动互联网,金融",[],"['金融科技银行', '技术创新驱动', '奋斗独立改变', '一年两次调薪']",null,机器学习专家,30k-50k,2000人以上,上市公司,5-10年
12,,"全额公积金,自助午餐,高新技术,大牛领导",北京,北京闪银奇异科技有限公司,本科,"移动互联网,金融","['大数据', '互联网金融', '算法', '数据挖掘', '数据处理']","['13~15薪', '晋升空间大', '定期体检', '能力定薪']",null,机器学习,20k-35k,500-2000人,D轮及以上,1-3年
13,['西溪'],五险一金 双休 下午茶 每年体检,杭州,杭州蜂融网络科技有限公司,大专,"移动互联网,金融",[],"['股票期权', '午餐补助', '专项奖金', '弹性工作']",null,机器学习,25k-50k,150-500人,A轮,3-5年
14,"['塘桥', '花木', '陆家嘴']","扁平化,弹性制",上海,上海秦苍信息科技有限公司,硕士,移动互联网、金融,[],"['美式企业文化', '节日礼物', '股票期权', '岗位晋升']",null,机器学习（风控）,15k-30k,500-2000人,C轮,不限
15,,六险一金，免费三餐，租房补贴，带薪休假,北京,北京字节跳动科技有限公司,本科,"移动互联网,数据服务",[],"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",null,头条实验室科学家-机器学习,25k-50k,2000人以上,C轮,1-3年
16,"['中关村', '知春路', '苏州街']","大牛,人性化管理,靠谱团队,技术氛围好",北京,北京深睿博联科技有限责任公司,硕士,"移动互联网,医疗健康","['医疗健康', '机器学习', '深度学习', '计算机视觉', '算法']","['股票期权', '年底双薪', '定期体检', '弹性工作']",null,深度/机器学习,25k-50k,150-500人,B轮,不限
17,,海量数据环境 成长空间大 弹性工作,杭州,浙江百世技术有限公司,硕士,"移动互联网,O2O",[],"['技能培训', '节日礼物', '年底双薪', '带薪年假']",null,机器学习/深度学习工程师,15k-30k,2000人以上,D轮及以上,不限
18,,阿里系平台 发展前景广阔,上海,千寻位置网络有限公司,本科,移动互联网,[],"['节日礼物', '股票期权', '带薪年假', '绩效奖金']",null,机器学习／深度学习,18k-35k,150-500人,不需要融资,3-5年
19,"['望京', '来广营', '花家地']","前景广阔,五险一金,节日福利,上升空间大",北京,天合泽泰（厦门）征信服务有限公司,本科,"企业服务,数据服务",[],"['带薪年假', '专项奖金', '交通补助', '技能培训']",null,机器学习/计算机视觉算法工程师,15k-30k,15-50人,A轮,1-3年
20,['火炬路'],"弹性工作制,绩效奖金,加班补助,股票期权",大连,上海连世数字技术有限公司大连分公司,硕士,"移动互联网,游戏",[],"['年底双薪', '带薪年假', '午餐补助', '定期体检']",null,机器学习/深度学习,15k-25k,150-500人,上市公司,3-5年
21,['酒仙桥'],免费三餐 弹性工作制,北京,北京奇安信科技有限公司,不限,"电子商务,企业服务",[],"['年底双薪', '带薪年假', '午餐补助', '定期体检']",null,机器学习,20k-40k,2000人以上,不需要融资,3-5年
22,,"五险一金,免费午餐,期权股权,住房补贴",武汉,武汉心络科技有限公司,硕士,医疗健康 数据服务,[],"['股票期权', '专项奖金', '交通补助', '通讯津贴']",null,机器学习/计算机视觉,15k-30k,50-150人,未融资,3-5年
23,['四季青'],七险一金、有食堂、发展前景好,北京,亿阳信通股份有限公司北京分公司,硕士,"移动互联网,数据服务",[],"['技能培训', '节日礼物', '专项奖金', '带薪年假']",null,机器学习/深度学习算法工程师,20k-40k,2000人以上,上市公司,3-5年
24,,人工智能 海量语料 亿级用户标签数据,上海,上海脉豪商务信息咨询有限公司,硕士,"移动互联网,企业服务","['大数据', 'Java', '算法', '数据挖掘']","['股票期权', '带薪年假', '定期体检', '弹性工作']",null,机器学习/算法工程师,25k-35k,150-500人,天使轮,3-5年
25,,转正留用机会，互联网，出行,上海,上海钧正网络科技有限公司,本科,"移动互联网,硬件",[],"['绩效奖金', '年底双薪', '股票期权', '交通补助']",null,【暑期实习生】算法工程师-机器学习(J10238),4k-6k,2000人以上,D轮及以上,应届毕业生
